original_title,title,homepage,budget,original_language,overview,popularity,release_date,revenue,runtime,tagline,vote_average,vote_count
Avatar,Avatar,http://www.avatarmovie.com/,237000000,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,10/12/2009,2787965087,162,Enter the World of Pandora.,7.2,11800
Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,http://disney.go.com/disneypictures/pirates/,300000000,en,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,19/05/2007,961000000,169,"At the end of the world, the adventure begins.",6.9,4500
Spectre,Spectre,http://www.sonypictures.com/movies/spectre/,245000000,en,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,26/10/2015,880674609,148,A Plan No One Escapes,6.3,4466
The Dark Knight Rises,The Dark Knight Rises,http://www.thedarkknightrises.com/,250000000,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,16/07/2012,1084939099,165,The Legend Ends,7.6,9106
John Carter,John Carter,http://movies.disney.com/john-carter,260000000,en,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,07/03/2012,284139100,132,"Lost in our world, found in another.",6.1,2124
Spider-Man 3,Spider-Man 3,http://www.sonypictures.com/movies/spider-man3/,258000000,en,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,01/05/2007,890871626,139,The battle within.,5.9,3576
Tangled,Tangled,http://disney.go.com/disneypictures/tangled/,260000000,en,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,24/11/2010,591794936,100,They're taking adventure to new lengths.,7.4,3330
Avengers: Age of Ultron,Avengers: Age of Ultron,http://marvel.com/movies/movie/193/avengers_age_of_ultron,280000000,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,22/04/2015,1405403694,141,A New Age Has Come.,7.3,6767
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,250000000,en,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,07/07/2009,933959197,153,Dark Secrets Revealed,7.4,5293
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,http://www.batmanvsupermandawnofjustice.com/,250000000,en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,23/03/2016,873260194,151,Justice or revenge,5.7,7004
Superman Returns,Superman Returns,http://www.superman.com,270000000,en,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,28/06/2006,391081192,154,,5.4,1400
Quantum of Solace,Quantum of Solace,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,200000000,en,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,30/10/2008,586090727,106,"For love, for hate, for justice, for revenge.",6.1,2965
