gender,age,class,embarked,country,fare,sibsp,parch,survived
male,42,3rd,Southampton,United States,7.11,0,0,no
male,13,3rd,Southampton,United States,20.05,0,2,no
male,16,3rd,Southampton,United States,20.05,1,1,no
female,39,3rd,Southampton,England,20.05,1,1,yes
female,16,3rd,Southampton,Norway,7.13,0,0,yes
male,25,3rd,Southampton,United States,7.13,0,0,yes
male,30,2nd,Cherbourg,France,24,1,0,no
female,28,2nd,Cherbourg,France,24,1,0,yes
male,27,3rd,Cherbourg,Lebanon,18.1509,0,0,yes
male,20,3rd,Southampton,Finland,7.1806,0,0,yes
male,30,3rd,Southampton,Sweden,7.05,0,0,no
male,27,3rd,Southampton,England,8.01,0,0,no
female,40,3rd,Southampton,Sweden,9.0906,1,0,no
male,0.8333333333,3rd,Southampton,England,9.07,0,1,yes
female,18,3rd,Southampton,England,9.07,0,1,yes
male,35,2nd,Southampton,England,13,0,0,no
male,25,3rd,Southampton,England,7.1709,0,0,no
male,19,3rd,Southampton,Finland,7.1806,0,0,no
male,24,3rd,Southampton,Argentina,7.01,0,0,no
male,25,3rd,Southampton,Argentina,7.01,0,0,no
female,29,1st,Southampton,United States,211.6009,0,0,yes
male,39,3rd,Southampton,England,8.01,0,0,no
male,0.9166666667,1st,Southampton,Canada,151.16,1,2,yes
female,2,1st,Southampton,Canada,151.16,1,2,no
male,30,1st,Southampton,Canada,151.16,1,2,no
female,25,1st,Southampton,United States,151.16,1,2,no
male,18,3rd,Southampton,England,8.06,0,0,no
male,19,3rd,Cherbourg,Lebanon,7.0407,0,0,no
female,19,3rd,Southampton,Denmark,7.1701,1,0,yes
male,33,3rd,Southampton,Norway,22.1006,0,0,no
male,47,1st,Southampton,United States,26.11,0,0,yes
male,4,3rd,Southampton,Sweden,31.0506,4,2,no
female,6,3rd,Southampton,Sweden,31.0506,4,2,no
female,2,3rd,Southampton,Sweden,31.0506,4,2,no
female,16,3rd,Southampton,Finland,7.1806,4,2,yes
female,38,3rd,Southampton,Sweden,7.1506,4,2,no
female,9,3rd,Southampton,Sweden,31.0506,4,2,no
female,11,3rd,Southampton,Sweden,31.0506,4,2,no
male,39,3rd,Southampton,Sweden,31.0506,1,5,no
male,26,3rd,Southampton,Sweden,7.1506,0,0,no
female,39,3rd,Southampton,Sweden,31.0506,1,5,no
