InvoiceNo,StockCode,Description,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12/1/10 8:26,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,12/1/10 8:26,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,12/1/10 8:26,2.75,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12/1/10 8:26,3.39,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,12/1/10 8:26,3.39,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,12/1/10 8:26,7.65,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12/1/10 8:26,4.25,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,12/1/10 8:28,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,12/1/10 8:28,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,12/1/10 8:34,1.69,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,12/1/10 8:34,2.1,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,12/1/10 8:34,2.1,13047,United Kingdom
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12/1/10 8:34,3.75,13047,United Kingdom
536367,22310,IVORY KNITTED MUG COSY,12/1/10 8:34,1.65,13047,United Kingdom
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,12/1/10 8:34,4.25,13047,United Kingdom
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,12/1/10 8:34,4.95,13047,United Kingdom
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,12/1/10 8:34,9.95,13047,United Kingdom
536367,21754,HOME BUILDING BLOCK WORD,12/1/10 8:34,5.95,13047,United Kingdom
536367,21755,LOVE BUILDING BLOCK WORD,12/1/10 8:34,5.95,13047,United Kingdom
536367,21777,RECIPE BOX WITH METAL HEART,12/1/10 8:34,7.95,13047,United Kingdom
536367,48187,DOORMAT NEW ENGLAND,12/1/10 8:34,7.95,13047,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,12/1/10 8:34,4.25,13047,United Kingdom
536368,22913,RED COAT RACK PARIS FASHION,12/1/10 8:34,4.95,13047,United Kingdom
536368,22912,YELLOW COAT RACK PARIS FASHION,12/1/10 8:34,4.95,13047,United Kingdom
