"","estimated_length","actual_length"
"1",12,17
"2",16,22
"3",16,23
"4",18,25
"5",22,39
"6",19,24
"7",18,24
"8",18,21
"9",18,23
"10",15,20
"11",15,19
"12",16,22
"13",12,14
"14",14,18
"15",11,17
"16",13,19
"17",17,20
"18",15,13
"19",11,16
"20",18,21
"21",17,19
"22",13,15
"23",15,16
"24",10,12
"25",17,20
"26",13,20
"27",16,24
"28",13,21
"29",11,16
"30",16,22
"31",10,17
"32",19,24
"33",13,18
"34",13,17
"35",12,15
"36",10,16
"37",18,20
"38",18,25
"39",10,12
"40",16,22
"41",17,19
"42",17,23
"43",14,18
"44",18,22
"45",16,21
"46",15,21
"47",19,23
"48",15,19
"49",17,23
"50",15,20
