wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,p_h,sulphates,alcohol,quality,region
1,74,0.7,0,19,0.076,11,34,0.9978,351,0.56,94,5.17,France
2,78,0.88,0,26,0.098,25,67,0.9968,32,0.68,98,5.04,Italy
3,78,0.76,0.04,23,0.092,15,54,0.997,326,0.65,98,5.050000000000001,USA
4,112,0.28,0.56,19,0.075,17,60,0.998,316,0.58,98,5.99,Italy
5,74,0.7,0,19,0.076,11,34,0.9978,351,0.56,94,4.94,Spain
6,74,0.66,0,18,0.075,13,40,0.9978,351,0.56,94,5.51,Spain
7,79,0.6,0.06,16,0.069,15,59,0.9964,33,0.46,94,5.44,Italy
8,73,0.65,0,12,0.065,15,21,0.9946,339,0.47,10,7.46,Italy
9,78,0.58,0.02,2,0.073,9,18,0.9968,336,0.57,95,6.75,USA
10,75,0.5,0.36,61,0.071,17,102,0.9978,335,0.8,105,5.37,USA
11,67,0.58,0.08,18,0.097,15,65,0.9959,328,0.54,92,4.88,France
12,75,0.5,0.36,61,0.071,17,102,0.9978,335,0.8,105,5.07,Italy
13,56,0.615,0,16,0.089,16,59,0.9943,358,0.52,99,5.14,France
14,78,0.61,0.29,16,0.114,9,29,0.9974,326,1.56,91,4.1499999999999995,Spain
15,89,0.62,0.18,38,0.176,52,145,0.9986,316,0.88,92,5.02,Spain
16,89,0.62,0.19,39,0.17,51,148,0.9986,317,0.93,92,4.8,USA
17,85,0.28,0.56,18,0.092,35,103,0.9969,33,0.75,105,6.67,Spain
18,81,0.56,0.28,17,0.368,16,56,0.9968,311,1.28,93,5.53,Australia
19,74,0.59,0.08,44,0.086,6,29,0.9974,338,0.5,9,4.62,Australia
20,79,0.32,0.51,18,0.341,17,56,0.9969,304,1.08,92,6.48,Spain
21,89,0.22,0.48,18,0.077,29,60,0.9968,339,0.53,94,6.61,USA
22,76,0.39,0.31,23,0.082,23,71,0.9982,352,0.65,97,5,France
23,79,0.43,0.21,16,0.106,10,37,0.9966,317,0.91,95,4.75,Spain
24,85,0.49,0.11,23,0.084,9,67,0.9968,317,0.53,94,4.44,Australia
25,69,0.4,0.14,24,0.085,21,40,0.9968,343,0.63,97,5.9399999999999995,Italy
26,63,0.39,0.16,14,0.08,11,23,0.9955,334,0.56,93,4.72,Spain
27,76,0.41,0.24,18,0.08,4,11,0.9962,328,0.59,95,4.8999999999999995,France
28,79,0.43,0.21,16,0.106,10,37,0.9966,317,0.91,95,4.2700000000000005,Australia
29,71,0.71,0,19,0.08,14,35,0.9972,347,0.55,94,5.489999999999999,Australia
30,78,0.645,0,2,0.082,8,16,0.9964,338,0.59,98,6.23,Spain
31,67,0.675,0.07,24,0.089,17,82,0.9958,335,0.54,101,4.54,Spain
32,69,0.685,0,25,0.105,22,37,0.9966,346,0.57,106,5.97,Australia
33,83,0.655,0.12,23,0.083,15,113,0.9966,317,0.66,98,4.470000000000001,France
34,69,0.605,0.12,107,0.073,40,83,0.9993,345,0.52,94,6.29,Australia
35,52,0.32,0.25,18,0.103,13,50,0.9957,338,0.55,92,4.5600000000000005,Spain
36,78,0.645,0,55,0.086,5,18,0.9986,34,0.55,96,6.13,France
37,78,0.6,0.14,24,0.086,3,15,0.9975,342,0.6,108,6.59,USA
38,81,0.38,0.28,21,0.066,13,30,0.9968,323,0.73,97,7.11,Australia
39,57,1.13,0.09,15,0.172,7,19,0.994,35,0.48,98,4.25,France
40,73,0.45,0.36,59,0.074,12,87,0.9978,333,0.83,105,5.1000000000000005,USA
41,73,0.45,0.36,59,0.074,12,87,0.9978,333,0.83,105,5.42,Italy
42,88,0.61,0.3,28,0.088,17,46,0.9976,326,0.51,93,4.38,Australia
43,75,0.49,0.2,26,0.332,8,14,0.9968,321,0.9,105,6.069999999999999,France
44,81,0.66,0.22,22,0.069,9,23,0.9968,33,1.2,103,4.91,Spain
45,68,0.67,0.02,18,0.05,5,11,0.9962,348,0.52,95,4.54,France
46,46,0.52,0.15,21,0.054,8,65,0.9934,39,0.56,131,4.7299999999999995,France
47,77,0.935,0.43,22,0.114,22,114,0.997,325,0.73,92,5.22,Italy
48,87,0.29,0.52,16,0.113,12,37,0.9969,325,0.58,95,4.8,Spain
49,64,0.4,0.23,16,0.066,5,12,0.9958,334,0.56,92,5.71,Spain
50,56,0.31,0.37,14,0.074,12,96,0.9954,332,0.58,92,4.61,Italy
51,88,0.66,0.26,17,0.074,4,23,0.9971,315,0.74,92,5.26,USA
52,66,0.52,0.04,22,0.069,8,15,0.9956,34,0.63,94,5.89,Australia
53,66,0.5,0.04,21,0.068,6,14,0.9955,339,0.64,94,5.98,USA
54,86,0.38,0.36,3,0.081,30,119,0.997,32,0.56,94,4.11,Spain
55,76,0.51,0.15,28,0.11,33,73,0.9955,317,0.63,102,5.68,Italy
56,77,0.62,0.04,38,0.084,25,45,0.9978,334,0.53,95,4.6,Spain
57,102,0.42,0.57,34,0.07,4,10,0.9971,304,0.63,96,4.5600000000000005,Italy
58,75,0.63,0.12,51,0.111,50,110,0.9983,326,0.77,94,4.609999999999999,Italy
59,78,0.59,0.18,23,0.076,17,54,0.9975,343,0.59,10,5,Italy
60,73,0.39,0.31,24,0.074,9,46,0.9962,341,0.54,94,6.590000000000001,Spain
61,88,0.4,0.4,22,0.079,19,52,0.998,344,0.64,92,5.199999999999999,Spain
62,77,0.69,0.49,18,0.115,20,112,0.9968,321,0.71,93,5.1000000000000005,Italy
63,75,0.52,0.16,19,0.085,12,35,0.9968,338,0.62,95,7.75,France
64,7,0.735,0.05,2,0.081,13,54,0.9966,339,0.57,98,4.91,Spain
65,72,0.725,0.05,465,0.086,4,11,0.9962,341,0.39,109,4.79,France
66,72,0.725,0.05,465,0.086,4,11,0.9962,341,0.39,109,5.26,Spain
67,75,0.52,0.11,15,0.079,11,39,0.9968,342,0.58,96,5.07,USA
68,66,0.705,0.07,16,0.076,6,15,0.9962,344,0.58,107,5.54,Italy
69,93,0.32,0.57,2,0.074,27,65,0.9969,328,0.79,107,5.340000000000001,Italy
70,8,0.705,0.05,19,0.074,8,19,0.9962,334,0.95,105,6.26,Australia
71,77,0.63,0.08,19,0.076,15,27,0.9967,332,0.54,95,5.37,Australia
72,77,0.67,0.23,21,0.088,17,96,0.9962,332,0.48,95,4.8500000000000005,Italy
73,77,0.69,0.22,19,0.084,18,94,0.9961,331,0.48,95,4.65,Australia
74,83,0.675,0.26,21,0.084,11,43,0.9976,331,0.53,92,4.55,France
75,97,0.32,0.54,25,0.094,28,83,0.9984,328,0.82,96,5.09,USA
76,88,0.41,0.64,22,0.093,9,42,0.9986,354,0.66,105,5.86,Italy
77,88,0.41,0.64,22,0.093,9,42,0.9986,354,0.66,105,4.45,USA
78,68,0.785,0,24,0.104,14,30,0.9966,352,0.55,107,6.0200000000000005,USA
79,67,0.75,0.12,2,0.086,12,80,0.9958,338,0.52,101,5.39,France
80,83,0.625,0.2,15,0.08,27,119,0.9972,316,1.12,91,4.37,Italy
81,62,0.45,0.2,16,0.069,3,15,0.9958,341,0.56,92,5.2,Australia
82,78,0.43,0.7,19,0.464,22,67,0.9974,313,1.28,94,4.6000000000000005,Spain
83,74,0.5,0.47,2,0.086,21,73,0.997,336,0.57,91,4.7700000000000005,USA
84,73,0.67,0.26,18,0.401,16,51,0.9969,316,1.14,94,5.71,USA
85,63,0.3,0.48,18,0.069,18,61,0.9959,344,0.78,103,5.12,Australia
