wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,p_h,sulphates,alcohol,quality,region
1,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,88,6.05,Australia
2,63,0.3,0.34,1.6,0.049,14,132,0.994,33,0.49,95,5.65,France
3,81,0.28,0.4,6.9,0.05,30,97,0.9951,326,0.44,101,6.32,USA
4,72,0.23,0.32,8.5,0.058,47,186,0.9956,319,0.4,99,5.96,Spain
5,72,0.23,0.32,8.5,0.058,47,186,0.9956,319,0.4,99,6.08,USA
6,81,0.28,0.4,6.9,0.05,30,97,0.9951,326,0.44,101,5.87,USA
7,62,0.32,0.16,7,0.045,30,136,0.9949,318,0.47,96,6.16,France
8,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,88,5.89,USA
9,63,0.3,0.34,1.6,0.049,14,132,0.994,33,0.49,95,5.63,Italy
10,81,0.22,0.43,1.5,0.044,28,129,0.9938,322,0.45,11,5.94,Italy
11,81,0.27,0.41,1.45,0.033,11,63,0.9908,299,0.56,12,4.82,USA
12,86,0.23,0.4,4.2,0.035,17,109,0.9947,314,0.53,97,4.52,Australia
13,79,0.18,0.37,1.2,0.04,16,75,0.992,318,0.63,108,5.5,Spain
14,66,0.16,0.4,1.5,0.044,48,143,0.9912,354,0.52,124,6.72,Spain
15,83,0.42,0.62,19.25,0.04,41,172,1.0002,298,0.67,97,4.62,France
16,66,0.17,0.38,1.5,0.032,28,112,0.9914,325,0.55,114,6.86,Italy
17,63,0.48,0.04,1.1,0.046,30,99,0.9928,324,0.36,96,6.39,Italy
18,62,0.66,0.48,1.2,0.029,29,75,0.9892,333,0.39,128,7.88,France
19,74,0.34,0.42,1.1,0.033,17,171,0.9917,312,0.53,113,5.64,USA
20,65,0.31,0.14,7.5,0.044,34,133,0.9955,322,0.5,95,4.58,Spain
21,62,0.66,0.48,1.2,0.029,29,75,0.9892,333,0.39,128,7.9,Australia
22,64,0.31,0.38,2.9,0.038,19,102,0.9912,317,0.35,11,6.71,Italy
23,68,0.26,0.42,1.7,0.049,41,122,0.993,347,0.48,105,8.27,Australia
24,76,0.67,0.14,1.5,0.074,25,168,0.9937,305,0.51,93,5.04,USA
25,66,0.27,0.41,1.3,0.052,16,142,0.9951,342,0.47,10,5.91,Italy
26,7,0.25,0.32,9,0.046,56,245,0.9955,325,0.5,104,6.03,Australia
27,69,0.24,0.35,1,0.052,35,146,0.993,345,0.44,10,5.71,France
28,7,0.28,0.39,8.7,0.051,32,141,0.9961,338,0.53,105,5.58,USA
29,74,0.27,0.48,1.1,0.047,17,132,0.9914,319,0.49,116,5.87,Spain
30,72,0.32,0.36,2,0.033,37,114,0.9906,31,0.71,123,7.3,France
31,85,0.24,0.39,10.4,0.044,20,142,0.9974,32,0.53,10,5.75,France
32,83,0.14,0.34,1.1,0.042,7,47,0.9934,347,0.4,102,5.67,Australia
33,74,0.25,0.36,2.05,0.05,31,100,0.992,319,0.44,108,5.91,Australia
34,62,0.12,0.34,1.5,0.045,43,117,0.9939,342,0.51,9,6.29,USA
